위도,경도,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,dew_point_2m_mean,dew_point_2m_max,dew_point_2m_min,pressure_msl_mean,soil_temperature_0_to_7cm_mean
37.3235,127.0955,2025-12-26,1.0,-5.9,-12.0,-9.2,-11.6,-18.0,-14.9,0.0,0.0,0.0,0.0,5.46,12.2,314.0,10.37,1.04,34566.18,32400.0,40.0,59.0,26.0,-20.6,-16.6,-23.0,1027.7,0.2
37.3266,127.9573,2025-01-23,0.0,5.8,-3.8,0.0,1.4,-7.0,-3.7,0.0,0.0,0.0,0.0,2.45,5.9,225.0,12.18,1.34,36269.23,34484.91,56.0,88.0,24.0,-9.2,-4.0,-15.1,1025.6,0.5
37.3266,127.9573,2025-03-30,3.0,5.9,-4.9,0.4,-0.2,-8.8,-4.2,0.0,0.0,0.0,0.0,5.8,12.9,258.0,16.73,2.06,45107.14,33969.23,52.0,75.0,32.0,-8.8,-5.1,-12.4,1028.3,1.8
37.3266,127.9573,2026-01-30,3.0,-3.0,-11.4,-8.0,-8.3,-16.4,-12.8,0.0,0.0,0.0,0.0,2.81,7.7,251.0,12.46,1.14,36979.84,35129.71,36.0,47.0,21.0,-21.1,-19.3,-22.4,1030.8,-4.9
37.3266,127.9573,2026-02-16,3.0,7.6,-3.4,1.0,4.6,-7.2,-2.7,0.0,0.0,0.0,0.0,3.07,6.4,227.0,14.91,1.79,39092.12,36000.0,58.0,78.0,32.0,-6.9,-5.7,-8.2,1023.5,1.9
37.3272,126.8005,2025-11-16,53.0,16.0,4.5,10.0,13.5,1.0,7.2,0.7,0.7,0.0,2.0,5.44,10.3,200.0,11.15,1.9,36525.64,31465.68,69.0,94.0,48.0,4.3,11.8,-0.8,1025.7,9.0
37.3292,126.8447,2025-07-05,51.0,30.5,24.4,26.8,35.4,28.4,31.1,0.7,0.7,0.0,5.0,4.59,10.0,212.0,23.75,4.86,52748.5,40694.08,82.0,94.0,64.0,23.4,24.1,22.6,1005.8,26.7
37.3292,126.8447,2025-08-23,51.0,31.2,24.0,27.6,37.3,29.0,33.1,0.6,0.6,0.0,5.0,3.54,8.6,229.0,20.52,4.23,47965.89,46800.0,85.0,99.0,69.0,24.7,25.6,23.9,1010.5,27.9
37.3292,126.8447,2025-12-25,0.0,-0.2,-9.2,-4.0,-6.3,-15.8,-9.7,0.0,0.0,0.0,0.0,6.54,14.5,321.0,9.93,1.14,34528.64,32400.0,61.0,88.0,41.0,-10.6,-5.2,-16.5,1021.5,1.2
37.3298,127.0924,2025-03-10,3.0,11.9,-0.2,5.2,9.3,-3.3,2.3,0.0,0.0,0.0,0.0,3.09,8.3,224.0,18.7,2.44,42219.23,39600.0,69.0,89.0,42.0,-0.5,1.2,-2.2,1027.0,1.8
37.3298,127.0924,2025-03-29,73.0,5.2,-2.8,1.4,0.5,-7.0,-3.5,1.5,0.2,0.91,7.0,6.79,16.9,288.0,19.51,2.28,44961.19,41791.2,52.0,76.0,27.0,-7.8,-1.0,-13.4,1022.5,3.9
37.3303,127.9489,2024-05-11,63.0,23.5,11.4,17.0,20.9,9.2,15.7,14.8,14.8,0.0,10.0,8.01,17.2,217.0,16.03,3.27,50638.39,26073.18,74.0,98.0,49.0,12.0,16.7,4.6,1012.0,16.7
37.3303,127.9489,2025-02-07,73.0,-7.6,-15.0,-10.0,-11.0,-19.7,-15.1,1.4,0.0,0.98,3.0,7.01,15.1,293.0,13.89,0.74,37964.32,32080.74,66.0,80.0,45.0,-15.4,-10.7,-19.7,1019.7,-6.1
37.3303,127.9489,2025-03-02,73.0,16.1,1.5,5.9,11.7,-3.5,2.4,11.9,11.3,0.42,8.0,5.56,11.3,55.0,6.1,1.27,41076.98,10629.53,81.0,95.0,28.0,2.2,5.3,-2.2,1016.8,3.0
37.3356,127.9292,2024-05-12,61.0,20.0,8.8,14.8,19.4,7.2,13.8,2.8,2.8,0.0,2.0,3.54,9.0,253.0,25.93,4.22,50743.45,43200.0,71.0,95.0,43.0,9.0,13.2,6.9,1010.1,15.9
37.3356,127.9292,2024-05-19,3.0,25.0,12.1,18.6,25.7,11.1,18.7,0.0,0.0,0.0,0.0,2.61,5.8,267.0,23.65,4.45,51436.18,46800.0,67.0,90.0,44.0,11.9,13.8,10.2,1015.5,18.1
37.3356,127.9292,2024-06-04,0.0,25.4,8.4,17.8,26.2,7.2,17.6,0.0,0.0,0.0,0.0,2.4,6.2,49.0,27.17,4.96,52613.35,47331.26,63.0,96.0,33.0,9.6,15.2,7.6,1015.7,19.0
37.3356,127.9292,2024-06-06,3.0,28.1,14.8,21.5,30.2,14.6,22.2,0.0,0.0,0.0,0.0,2.37,5.3,212.0,23.69,4.79,52710.93,42145.8,61.0,84.0,37.0,13.0,16.2,10.7,1016.6,21.7
37.3356,127.9292,2024-07-06,65.0,29.1,20.0,24.5,32.0,23.0,27.6,40.8,40.8,0.0,12.0,8.34,18.9,203.0,15.3,3.23,52688.23,22923.4,86.0,99.0,73.0,21.9,24.5,19.0,1004.0,23.8
37.3356,127.9292,2025-04-22,63.0,17.0,13.5,15.6,18.8,12.3,16.4,25.1,25.1,0.0,15.0,4.0,7.9,68.0,3.23,0.7,48299.19,0.0,93.0,99.0,80.0,14.5,16.9,11.6,1006.6,15.0
37.3356,127.9292,2025-04-23,3.0,20.5,7.4,14.3,20.4,4.9,12.9,0.0,0.0,0.0,0.0,3.01,6.8,16.0,22.34,3.8,48431.0,46311.09,67.0,92.0,41.0,7.6,10.2,5.9,1006.5,14.5
37.3356,127.9292,2025-05-28,63.0,23.5,12.6,17.2,25.2,12.5,17.9,5.5,5.5,0.0,5.0,3.4,9.1,162.0,22.51,3.91,52163.27,42403.96,75.0,96.0,52.0,12.6,15.4,10.1,1018.3,17.7
37.3356,127.9292,2025-07-13,61.0,31.9,20.0,25.1,35.4,21.6,27.8,5.7,5.7,0.0,7.0,3.05,7.4,264.0,16.07,3.69,52305.8,21919.21,68.0,98.0,42.0,18.2,23.4,15.2,1003.1,26.5
37.3356,127.9292,2025-10-21,3.0,15.2,7.3,10.9,13.6,5.8,9.6,0.0,0.0,0.0,0.0,1.93,5.6,346.0,10.16,1.57,39718.2,22309.14,79.0,96.0,55.0,7.2,8.6,6.1,1028.9,12.8
37.3357,127.1082,2024-03-30,53.0,14.7,1.3,6.8,12.1,-1.8,3.7,0.7,0.7,0.0,2.0,5.04,10.5,246.0,17.91,2.65,45145.54,41626.09,71.0,99.0,43.0,1.4,4.1,-1.5,1012.1,7.9
37.3357,127.1082,2024-05-12,53.0,19.9,8.4,14.3,18.8,7.0,13.1,0.6,0.6,0.0,1.0,4.94,10.6,289.0,25.89,4.24,50724.67,45224.38,75.0,100.0,43.0,9.3,11.9,6.5,1010.6,15.4
37.3357,127.1082,2025-03-07,3.0,8.2,-2.5,2.7,4.9,-5.8,-0.8,0.0,0.0,0.0,0.0,2.34,6.6,243.0,17.41,2.14,41794.27,39600.0,59.0,80.0,32.0,-5.2,-3.2,-8.1,1028.0,0.6
37.3357,127.1082,2025-03-20,0.0,13.4,-1.1,5.2,9.6,-4.8,1.7,0.0,0.0,0.0,0.0,5.62,13.0,205.0,20.16,2.56,43668.84,40453.02,72.0,88.0,43.0,0.3,4.1,-4.1,1019.3,4.4
37.3357,127.1082,2026-02-08,0.0,-5.8,-13.7,-9.9,-11.5,-19.7,-15.6,0.0,0.0,0.0,0.0,4.6,10.1,300.0,14.63,1.24,38076.64,36034.16,38.0,51.0,20.0,-21.9,-16.8,-25.6,1029.1,-5.9
37.3362,126.8096,2024-02-12,0.0,8.6,-5.1,1.0,4.2,-8.8,-3.0,0.0,0.0,0.0,0.0,3.4,7.2,162.0,14.35,1.72,38502.68,36340.4,69.0,89.0,30.0,-4.8,0.1,-8.4,1029.0,0.1
37.3362,126.8096,2024-06-16,51.0,26.6,17.5,21.8,27.9,18.7,22.8,0.2,0.2,0.0,2.0,4.18,9.6,270.0,26.13,5.23,53024.16,47233.92,72.0,98.0,47.0,16.0,18.3,14.1,1006.4,23.9
37.3362,126.8096,2025-04-24,3.0,16.3,7.2,11.7,15.1,5.3,9.3,0.0,0.0,0.0,0.0,6.17,11.8,261.0,24.0,3.82,48562.21,46187.94,71.0,98.0,49.0,6.1,8.5,-0.2,1009.4,13.5
37.3362,126.8096,2025-12-23,73.0,3.8,-0.9,1.1,0.8,-5.6,-3.0,11.1,10.6,0.35,14.0,4.56,8.8,93.0,1.35,0.61,34511.14,0.0,74.0,98.0,50.0,-3.4,0.9,-8.2,1023.6,-0.4
37.3362,126.8096,2025-12-30,3.0,2.4,-4.5,-1.5,-2.7,-9.1,-6.2,0.0,0.0,0.0,0.0,3.29,7.7,339.0,10.04,1.33,34631.56,32400.0,50.0,71.0,28.0,-11.0,-6.8,-14.5,1025.6,1.6
37.3396,127.0956,2024-01-03,73.0,2.9,-3.2,0.0,-0.6,-7.5,-3.3,1.1,0.6,0.35,5.0,3.4,8.1,316.0,4.11,0.45,34759.25,10236.73,86.0,91.0,80.0,-2.0,-0.2,-5.3,1020.1,0.3
37.3396,127.0956,2025-10-05,55.0,23.0,18.5,20.0,26.2,20.8,23.0,4.4,4.4,0.0,9.0,1.82,5.4,94.0,5.95,1.17,41940.33,3434.01,94.0,99.0,80.0,19.1,20.0,17.9,1014.7,20.2
