매장,매장명,지역,형태,폐점여부,오픈일,평수,실평수,창고,계약면적(㎡),진열평수,신주소,위도,경도,매장인원,입고도우미PO,일평균매출,일평균물동량
10539,포항죽도시장점,울산팀,직영점,영업,2014-03-13,207.0,161.7,45.3,838.0,141.7,경상북도 포항시 북구 죽도시장6길 4-10 (죽도동) ,36.0348,129.3665,7.5,0.4,8422410.714285715,168.0
10862,포항죽파로점,울산팀,직영점,영업,2019-01-18,296.0,275.0,21.0,1239.6,255.0,경상북도 포항시 북구 중흥로 277 (죽도동) ,36.0277,129.3616,5.1,0.4,6646964.285714285,133.0
10870,포항해도점,울산팀,직영점,영업,2019-02-02,200.0,190.0,10.0,553.68,170.0,경북 포항시 남구 중앙로 150-1 ,36.0265,129.368,5.1,0.4,5196535.714285715,104.0
71528,프리마트안양석수점,관악팀,유통점,영업,2016-09-01,63.0,58.0,5.0,0.0,54.0,경기도 안양시 만안구 안양로 451 (석수동) ,37.4102,126.9114,2.1,0.1,,
71723,플러스마트팽성점,평택팀,유통점,영업,2022-02-11,80.0,78.0,2.0,0.0,74.0,경기도 평택시 팽성읍 부용로31번길 9-6 ,36.9639,127.0584,2.0,0.0,,
71448,하나로마트계룡점,대전팀,유통행사,영업,2014-03-05,12.0,12.0,0.0,0.0,8.0,충청남도 논산시 연산면 청동로 18 ,36.2082,127.1955,0.7,0.0,,
71611,하나로마트고덕점,강동팀,유통행사,영업,2018-07-01,32.0,30.0,2.0,237.0,26.0,"서울특별시 강동구 아리수로50길 50 (고덕동, 래미안힐스테이트고덕) ",37.5577,127.1486,0.3,0.0,,
71016,하나로마트고창점,전북팀,유통행사,영업,2009-11-25,46.0,44.0,2.0,0.0,40.0,전라북도 고창군 고창읍 성산로 22 ,35.4379,126.6946,0.0,0.0,,
70610,하나로마트광양점,전남팀,유통점,영업,2006-06-23,47.0,45.0,2.0,0.0,41.0,전라남도 광양시 광양읍 신재로 10 ,34.9721,127.5897,0.7,0.0,,
70664,하나로마트광적(양주)점,강북팀,유통행사,영업,2010-01-07,13.0,13.0,0.0,0.0,9.0,경기도 양주시 광적면 가래비길 132 ,37.8262,126.9838,0.0,0.0,,
71716,하나로마트김해점,서부산팀,유통점,영업,2021-08-26,106.0,100.0,6.0,266.7,96.0,경상남도 김해시 칠산로 128(신문동) ,35.1838,128.8364,2.4,0.0,,
71078,하나로마트남성점,관악팀,유통행사,영업,2010-05-27,5.0,5.0,0.0,0.0,1.0,서울특별시 동작구 사당로16길 35 ,37.482,126.9729,0.0,0.0,,
71424,하나로마트남창원점,창원팀,유통행사,영업,2013-09-04,143.8,135.3,8.5,474.54,131.3,경상남도 창원시 성산구 가음로 100 ,35.204,128.7032,3.7,0.0,,
71819,하나로마트노형점,제주팀,유통점,영업,2025-05-16,124.0,110.0,14.0,409.6,106.0,제주특별자치도 제주시 월광로 77 (노형동) ,33.4876,126.4674,2.3,0.3,,
71551,하나로마트논산내동점,대전팀,유통행사,영업,2017-05-23,15.0,15.0,0.0,0.0,11.0,충청남도 논산시 대학로 48 (내동) ,36.1773,127.1034,0.7,0.0,,
70976,하나로마트농소점,울산팀,유통행사,영업,2009-11-10,5.0,5.0,0.0,0.0,1.0,울산광역시 북구 매곡로 7 ,35.6348,129.3489,0.0,0.0,,
71413,하나로마트당진점,충남팀,유통행사,영업,2013-05-16,10.0,8.0,2.0,0.0,4.0,충청남도 당진시 동부1로 15 ,36.8851,126.6485,0.0,0.0,,
71449,하나로마트동대전점,대전팀,유통행사,영업,2014-03-25,11.0,10.0,1.0,0.0,0.0,대전광역시 동구 계족로 63 ,36.3203,127.443,0.3,0.0,,
71642,하나로마트목포점,전남팀,유통점,영업,2019-01-01,71.0,70.0,1.0,0.0,66.0,전라남도 목포시 선곡로 33 (석현동) ,34.8191,126.4285,1.0,0.0,,
71616,하나로마트발안농협점,평택팀,유통행사,영업,2018-10-12,25.0,25.0,0.0,0.0,21.0,경기도 화성시 향남읍 행정서남로 67 ,37.1292,126.9098,0.7,0.0,,
70576,하나로마트방화점,일산팀,유통점,영업,2005-12-23,78.0,78.0,0.0,0.0,74.0,서울특별시 강서구 금낭화로 127 (방화동) ,37.5768,126.8122,2.1,0.1,,
70378,하나로마트부산(화명)점,동부산팀,유통점,영업,2004-05-07,802.0,750.0,52.0,0.0,742.0,부산광역시 북구 금곡대로 469 (금곡동) ,35.25,129.0112,13.6,0.5,,
71760,하나로마트분평점,충북팀,유통점,영업,2023-07-28,39.0,35.0,4.0,0.0,31.0,충청북도 청주시 서원구 분평로 26 (분평동) ,36.6082,127.488,0.0,0.0,,
71442,하나로마트사동점,전남팀,유통행사,영업,2013-12-23,17.0,17.0,0.0,0.0,13.0,전라남도 광양시 진등1길 5 ,34.9501,127.6888,0.7,0.0,,
71530,하나로마트삼송점,일산팀,유통행사,영업,2016-10-29,76.0,74.0,2.0,244.0,70.0,"경기 고양시 덕양구 동송로 20 (동산동, 삼송농산물종합유통센터) ",37.6486,126.8989,0.0,0.0,,
71518,하나로마트서산서부점,충남팀,유통행사,영업,2016-04-14,21.0,18.0,3.0,0.0,14.0,충남 서산시 고운로 106 (읍내동) ,36.7798,126.4497,0.7,0.0,,
71504,하나로마트서안성점,평택팀,유통점,영업,2015-11-01,48.0,46.0,2.0,0.0,42.0,경기도 안성시 공도읍 덕봉서원로 68 ,37.0099,127.1724,1.7,0.0,,
70200,하나로마트성남점,강동팀,유통점,영업,2019-07-26,37.0,35.0,2.0,115.0,31.0,경기도 성남시 분당구 성남대로43번길 11 (구미동) ,37.3388,127.1067,1.0,0.0,,
71745,하나로마트성내점,강동팀,유통점,영업,2023-02-11,40.0,40.0,0.0,0.0,36.0,서울특별시 강동구 올림픽로 528(성내동) ,37.5294,127.1204,1.0,0.0,,
71717,하나로마트아산배방점,충남팀,유통점,영업,2021-09-01,30.0,30.0,0.0,0.0,26.0,충청남도 아산시 배방읍 모산로 186-4 ,36.7749,127.0636,1.3,0.0,,
71601,하나로마트안성농협점,평택팀,유통점,영업,2018-04-29,154.0,146.0,8.0,508.0,140.0,경기도 안성시 장기로 20-2 (석정동) ,37.0073,127.2658,2.9,0.2,,
71830,하나로마트양산점,동부산팀,유통점,영업,2025-09-26,803.0,740.0,63.0,0.0,732.0,경상남도 양산시 물금읍 증산역로 177 ,35.3099,129.0094,14.0,1.1,,
71568,하나로마트양주점,강북팀,유통점,영업,2017-08-31,58.0,58.0,0.0,165.0,54.0,경기도 양주시 부흥로1907번길 182 (고읍동) ,37.8006,127.0739,2.0,0.0,,
71784,하나로마트엔타점,춘천원주팀,유통행사,영업,2024-07-05,70.0,70.0,0.0,0.0,66.0,강원특별자치도 춘천시 후석로 120 (석사동) ,37.8634,127.7483,1.8,0.1,,
71524,하나로마트용인모현점,용인팀,유통행사,영업,2016-06-02,22.0,22.0,0.0,0.0,18.0,"경기 용인시 처인구 모현면 백옥대로 2373 (왕산리, 농협하나로마트) ",37.3356,127.2488,1.4,0.0,,
71821,하나로마트용호점,서부산팀,유통점,영업,2025-06-06,64.5,64.5,0.0,0.0,60.5,부산광역시 남구 용호로 228 (용호동) ,35.1119,129.1105,0.7,0.0,,
71526,하나로마트이동점,용인팀,유통행사,영업,2016-08-30,20.0,20.0,0.0,0.0,16.0,"경기 용인시 처인구 이동면 백옥대로 595 (천리, 이동농협) ",37.1901,127.2059,1.0,0.0,,
71404,하나로마트이수점,관악팀,유통행사,영업,2013-03-28,8.0,8.0,0.0,0.0,4.0,서울특별시 동작구 동작대로39길 22 지하1층 ,37.4946,126.982,0.0,0.0,,
71666,하나로마트일산점,일산팀,유통행사,영업,2019-07-01,50.0,50.0,0.0,0.0,46.0,경기도 고양시 일산서구 대화로 362 (대화동) ,37.6836,126.7464,2.0,0.0,,
71815,하나로마트자갈치점,서부산팀,유통점,영업,2025-03-01,60.0,60.0,0.0,0.0,56.0,부산광역시 중구 구덕로 73 (남포동6가) ,35.0971,129.0272,0.7,0.0,,
71241,하나로마트장호원점,용인팀,유통행사,영업,2011-06-30,18.0,17.0,1.0,0.0,13.0,경기도 이천시 장호원읍 장감로 16 ,37.1154,127.6245,0.7,0.0,,
71407,하나로마트전곡점,강북팀,유통행사,영업,2013-04-05,26.0,25.0,1.0,0.0,21.0,경기도 연천군 전곡읍 평화로 557 ,38.0202,127.0672,1.0,0.0,,
71783,하나로마트조천점,제주팀,유통점,영업,2024-06-20,100.0,90.0,10.0,330.0,86.0,제주특별자치도 제주시 조천읍 조천우회로 325 ,33.5281,126.6443,1.9,0.2,,
71713,하나로마트진접점,구리팀,유통점,영업,2021-07-05,65.04,63.04,2.0,0.0,59.04,"경기 남양주시 진접읍 해밀예당1로 28 (연평리, 진접농협) ",37.7112,127.1862,2.0,0.0,,
70351,하나로마트창동점,강북팀,유통점,영업,2004-12-03,125.0,125.0,0.0,412.0,121.0,서울특별시 도봉구 마들로11길 20 (창동) ,37.6551,127.0508,4.4,0.0,,
71837,하나로마트혁신도시점,춘천원주팀,유통행사,영업,2026-03-07,70.0,70.0,0.0,0.0,66.0,강원특별자치도 원주시 양지로 26 ,37.3246,127.9816,0.0,0.0,,
71129,하나로마트화도점,구리팀,유통행사,영업,2010-09-03,25.0,23.0,2.0,0.0,19.0,경기도 남양주시 화도읍 경춘로 1981-12 ,37.6514,127.3091,0.0,0.0,,
71064,하나로마트흑석점,관악팀,유통행사,영업,2010-04-16,27.0,25.5,1.5,0.0,0.0,서울특별시 동작구 서달로 150 ,37.5066,126.9622,1.0,0.0,,
70827,하나로클럽기흥점,용인팀,유통행사,영업,2008-05-31,30.0,30.0,0.0,0.0,26.0,경기도 용인시 기흥구 중부대로 682 ,37.266,127.1358,0.7,0.0,,
70657,하나로클럽대전점,대전팀,유통점,영업,2013-03-27,105.0,105.0,0.0,0.0,101.0,대전광역시 중구 대둔산로199번길 43 (안영동) ,36.2886,127.3784,3.0,0.0,,
71619,하나로클럽방이점,강남팀,유통행사,영업,2018-09-01,22.0,22.0,0.0,72.0,18.0,서울특별시 송파구 양재대로72길 15 (오금동) ,37.5094,127.1291,1.0,0.0,,
70597,하나로클럽부전점,서부산팀,유통점,영업,2023-03-01,60.0,60.0,0.0,0.0,56.0,부산광역시 부산진구 중앙대로783번길 14(부전동) 농협부산경남유통,35.1628,129.0623,1.7,0.0,,
70541,하나로클럽양재점,강남팀,유통점,영업,2005-08-18,44.0,44.0,0.0,0.0,40.0,서울특별시 서초구 청계산로 10 (양재동) ,37.4632,127.0435,3.3,0.3,,
71662,하나로클럽울산점,울산팀,유통점,영업,2019-07-20,83.0,71.0,12.0,0.0,67.0,울산광역시 북구 진장유통로 90 (진장동) ,35.5791,129.3588,3.4,0.0,,
70547,하나로클럽청주점,충북팀,유통점,영업,2005-09-01,82.3,75.7,6.6,270.0,71.7,충청북도 청주시 상당구 무농정로 28 (방서동) ,36.6058,127.5064,3.0,0.0,,
11054,하남감일점,강동팀,직영점,영업,2023-05-12,240.0,204.0,36.0,1645.09,198.0,경기도 하남시 감일백제로 181 (감이동) ,37.5078,127.1533,8.8,1.1,9450517.857142856,189.0
11066,하남미사역점,강동팀,직영점,영업,2023-08-04,268.0,247.0,21.0,1938.87,241.0,경기도 하남시 미사강변동로 95 (망월동) ,37.5637,127.1917,20.6,0.9,23558392.85714286,471.0
10866,하남미사점,강동팀,직영점,영업,2019-03-09,417.0,385.0,32.0,1779.18,363.0,경기 하남시 미사강변대로226번길 80 ,37.5685,127.1858,12.6,1.2,15071178.57142857,301.0
10589,하남시청점,강동팀,직영점,영업,2015-11-19,240.0,220.0,20.0,955.0,200.0,경기도 하남시 대청로 9 (신장동) ,37.54,127.2134,6.8,0.8,7206982.142857143,144.0
10553,하남신장시장점,강동팀,직영점,영업,2014-10-18,260.0,260.0,0.0,781.0,249.0,경기도 하남시 신장로 130-5 (덕풍동) ,37.5387,127.2039,11.8,0.8,12211982.142857144,244.0
70947,하이웨이마트구의점,구리팀,유통행사,영업,2009-05-30,26.0,26.0,0.0,0.0,22.0,서울특별시 광진구 광나루로 516 하이웨이마트 ,37.5446,127.0866,1.1,0.1,,
71544,하이웨이마트오목천점,수원팀,유통행사,영업,2017-04-13,21.0,21.0,0.0,0.0,17.0,경기 수원시 권선구 온정로 8 (오목천동) ,37.2472,126.9657,1.7,0.0,,
70988,하이웨이마트지산점,평택팀,유통행사,영업,2009-09-03,31.0,31.0,0.0,0.0,27.0,경기도 평택시 송탄공원로 91 ,37.0758,127.0592,1.8,0.1,,
71471,한샘마트부곡점,안산팀,유통행사,영업,2014-12-13,41.0,41.0,0.0,0.0,37.0,경기도 안산시 상록구 성호로 258 (부곡동 685-11번지) ,37.3264,126.8585,0.7,0.0,,
71697,한샘마트성수점,종로팀,유통행사,영업,2020-09-04,50.0,47.0,3.0,0.0,43.0,서울특별시 성동구 성수이로 118 (성수동2가) ,37.5452,127.0579,2.7,0.0,,
71503,한샘식자재선부점,안산팀,유통행사,영업,2015-10-21,25.0,25.0,0.0,0.0,0.0,경기도 안산시 단원구 선이로 14 안산제1종합시장 ,37.3424,126.8036,1.0,0.0,,
10806,한성대입구역2호점,종로팀,직영점,영업,2018-08-18,239.0,239.0,0.0,793.14,198.0,서울특별시 성북구 동소문로 14 (동소문동2가) ,37.5889,127.0078,12.0,0.6,13260428.57142857,265.0
71689,한양쇼핑김해삼정점,서부산팀,유통점,영업,2020-06-30,170.0,157.0,13.0,600.0,151.0,경상남도 김해시 활천로36번길 36 (삼정동) ,35.2324,128.8968,7.4,0.3,,
10984,한티역점,강남팀,직영점,영업,2021-10-08,151.0,130.0,21.0,510.75,124.0,서울특별시 강남구 선릉로 227(도곡동) ,37.4958,127.0527,8.1,1.1,9602642.857142856,192.0
10894,합정동점,신촌팀,직영점,영업,2019-05-24,238.0,227.0,11.0,1383.82,200.0,서울특별시 마포구 독막로 33-1 (합정동) ,37.5484,126.9173,13.2,0.8,18424625.0,368.0
10923,행신역점,일산팀,직영점,영업,2020-02-14,397.0,373.0,24.0,1322.45,351.0,경기도 고양시 덕양구 충장로 10 (행신동) ,37.6138,126.8345,12.9,0.8,12462000.0,249.0
71535,현대서부상가울산점,울산팀,유통점,영업,2017-01-27,200.0,195.0,5.0,661.0,189.0,울산광역시 동구 방어진순환도로 975 (서부동) ,35.5283,129.4328,6.6,0.5,,
71594,현대시티몰가든파이브점,강남팀,유통점,영업,2018-04-05,117.0,110.0,7.0,364.0,106.0,서울특별시 송파구 충민로 66 (문정동) ,37.4776,127.125,5.5,0.5,,
71648,현대시티아울렛대구점,대구팀,유통점,영업,2019-06-09,150.0,140.0,10.0,497.0,134.0,대구광역시 동구 동대구로 454 (신천동) 8층,35.8707,128.6265,4.1,0.0,,
71587,현대시티아울렛동대문점,종로팀,유통점,영업,2018-01-26,89.0,82.0,7.0,275.0,78.0,서울특별시 중구 장충단로13길 20 (을지로6가) ,37.5687,127.0077,5.9,0.2,,
10286,혜화점,종로팀,직영점,영업,2011-01-22,140.0,135.0,5.0,446.0,117.0,서울특별시 종로구 창경궁로 239 (명륜2가) ,37.5833,126.9987,6.3,0.6,7027107.142857143,141.0
10260,호평점,구리팀,직영점,영업,2010-08-14,98.0,94.0,4.0,593.0,90.0,"경기도 남양주시 호평로 33 (호평동, 호평 두산위브파크) ",37.6563,127.243,3.3,0.6,4537160.714285715,91.0
71651,홈마트광주진월점,전남팀,유통행사,영업,2019-05-01,55.0,50.0,5.0,0.0,46.0,광주광역시 남구 화산로 35 (진월동) ,35.1124,126.9007,0.7,0.0,,
71669,홈플러스가좌점,북인천팀,유통점,영업,2019-12-15,165.0,155.0,10.0,1069.0,149.0,인천광역시 서구 가정로151번길 11 (가좌동) ,37.4976,126.6707,5.7,0.0,,
71339,홈플러스간석점,남인천팀,유통점,영업,2012-07-12,146.0,138.0,8.0,1005.0,134.0,인천광역시 남동구 경원대로 971 (간석동) ,37.4696,126.6891,6.4,0.0,,
71631,홈플러스강동점,강동팀,유통점,영업,2019-01-31,225.0,214.0,11.0,1441.4,208.0,서울 강동구 양재대로 1571 ,37.5457,127.1423,9.5,0.8,,
71794,홈플러스강서점,일산팀,유통점,영업,2024-10-11,321.0,296.0,25.0,2118.0,288.0,서울특별시 강서구 화곡로 398 (등촌동) ,37.5585,126.8548,10.2,0.8,,
71486,홈플러스경산점,대구팀,유통점,영업,2015-05-21,110.0,103.0,7.0,816.0,99.0,경상북도 경산시 경안로 288 (중방동) ,35.8328,128.7356,2.1,0.0,,
71638,홈플러스고양터미널점,일산팀,유통점,영업,2019-03-21,147.5,138.6,8.9,1058.0,134.6,경기도 고양시 일산동구 중앙로 1036 (백석동) ,37.6431,126.7898,6.8,0.1,,
71464,홈플러스광양점,전남팀,유통점,영업,2014-08-11,129.0,109.0,20.0,856.0,105.0,전라남도 광양시 항만11로 70 (중동) ,34.9285,127.6941,3.4,0.0,,
71679,홈플러스구월점,남인천팀,유통점,영업,2019-12-01,77.0,74.0,3.0,489.0,70.0,인천광역시 남동구 예술로 198 (구월동) ,37.4517,126.7019,5.7,0.0,,
71809,홈플러스김해점,서부산팀,유통점,영업,2025-01-17,306.0,275.0,31.0,2022.0,267.0,경남 김해시 김해대로 2078 ,35.2419,128.8703,6.9,0.5,,
