temperature_2m_min,temperature_2m_max,precipitation_sum,snowfall_sum,rain_sum,wind_speed_10m_max,relative_humidity_2m_mean,soil_temperature_0_to_7cm_mean,평수,실평수,진열평수,창고,계약면적(㎡),매장인원,입고도우미PO,일평균매출,일평균물동량,형태,매장명,지역,위도,경도,매장,발생일시,incident_id,label
6.5,10.9,9.1,0.0,9.1,29.2,78,9.1,227.0,217.0,204.0,10.0,1240.0,12.2,1.1,13785232.142857144,276.0,직영점,전주신시가지점,전북팀,35.8249,127.1022,10810.0,2025-11-25,NEG-10810.0-2025-11-25,0
10.6,19.0,0.1,0.0,0.1,9.8,82,15.6,227.0,217.0,204.0,10.0,1240.0,12.2,1.1,13785232.142857144,276.0,직영점,전주신시가지점,전북팀,35.8249,127.1022,10810.0,2025-10-25,NEG-10810.0-2025-10-25,0
6.2,16.4,2.3,0.0,2.3,18.6,86,8.5,227.0,217.0,204.0,10.0,1240.0,12.2,1.1,13785232.142857144,276.0,직영점,전주신시가지점,전북팀,35.8249,127.1022,10810.0,2025-12-20,NEG-10810.0-2025-12-20,0
6.1,18.5,0.0,0.0,0.0,15.4,80,9.7,227.0,217.0,204.0,10.0,1240.0,12.2,1.1,13785232.142857144,276.0,직영점,전주신시가지점,전북팀,35.8249,127.1022,10810.0,2025-11-30,NEG-10810.0-2025-11-30,0
4.3,13.5,0.0,0.0,0.0,14.9,53,11.6,227.0,217.0,204.0,10.0,1240.0,12.2,1.1,13785232.142857144,276.0,직영점,전주신시가지점,전북팀,35.8249,127.1022,10810.0,2025-11-10,NEG-10810.0-2025-11-10,0
0.9,12.2,0.0,0.0,0.0,12.0,53,8.0,431.0,387.0,365.0,44.0,1774.35,15.4,1.1,17412410.714285713,348.0,직영점,목포본점,전남팀,34.8155,126.4216,10813.0,2024-11-19,NEG-10813.0-2024-11-19,0
-0.2,7.2,1.0,0.0,1.0,22.5,62,4.5,431.0,387.0,365.0,44.0,1774.35,15.4,1.1,17412410.714285713,348.0,직영점,목포본점,전남팀,34.8155,126.4216,10813.0,2024-12-13,NEG-10813.0-2024-12-13,0
-1.2,3.5,0.0,0.0,0.0,31.5,62,2.4,431.0,387.0,365.0,44.0,1774.35,15.4,1.1,17412410.714285713,348.0,직영점,목포본점,전남팀,34.8155,126.4216,10813.0,2025-01-15,NEG-10813.0-2025-01-15,0
20.2,29.0,15.6,0.0,15.6,19.9,84,24.2,291.0,269.0,263.0,22.0,1806.0,9.8,0.8,12408607.142857144,248.0,직영점,세종첫마을점,충북팀,36.4907,127.2569,10814.0,2025-07-14,NEG-10814.0-2025-07-14,0
25.0,31.2,0.5,0.0,0.5,10.5,85,27.9,291.0,269.0,263.0,22.0,1806.0,9.8,0.8,12408607.142857144,248.0,직영점,세종첫마을점,충북팀,36.4907,127.2569,10814.0,2025-08-30,NEG-10814.0-2025-08-30,0
16.8,28.1,0.0,0.0,0.0,8.4,79,22.7,291.0,269.0,263.0,22.0,1806.0,9.8,0.8,12408607.142857144,248.0,직영점,세종첫마을점,충북팀,36.4907,127.2569,10814.0,2025-06-23,NEG-10814.0-2025-06-23,0
22.0,25.2,31.4,0.0,31.4,11.6,95,23.2,821.0,754.0,718.0,67.0,2894.0,26.9,1.5,32583303.57142857,652.0,직영점,속초본점,강릉속초팀,38.1901,128.5932,10817.0,2025-07-17,NEG-10817.0-2025-07-17,0
